Time;Nthreads;RunType;Size
1.90735e-06;1;problem;1000
0.00316095;2;problem;1000
0.000146151;4;problem;1000
0.0853338;8;problem;1000
0.20658;16;problem;1000
0.524163;32;problem;1000
1.90735e-06;1;problem;5000
0.000759125;2;problem;5000
0.00198698;4;problem;5000
2.86102e-06;1;problem;10000
0.000773191;2;problem;10000
0.0113659;4;normal;100000
0.0209501;4;normal;1000000
0.231282;4;normal;5000000
0.106606;4;problem;5000000
9.651;15;problem;5000000
7.76017;15;normal;5000000
0.0108168;4;problem;5
0.00476503;4;problem;5
0.00557494;2;normal;5
0.00604415;2;normal;5
0.00251913;2;problem;5
0.00011301;4;problem;5
0.000340939;4;normal;5
0.00186181;4;normal;5
0.10842;10;normal;5
0.12241;10;problem;5
0.924574;30;problem;5
4.51954;30;problem;50
0.745353;30;normal;50
