Time;Nthreads;RunType;Size
0.481501;1;normal;10000
0.810557;4;normal;10000
0.982704;8;normal;10000
1.63883;2;normal;10000
1.00099;16;normal;10000
1.61194;1;normal;25000
2.36007;4;normal;25000
0.31379;1;normal;10000
3.83982;2;normal;25000
2.48782;8;normal;25000
0.590247;2;normal;10000
1.52826;1;normal;25000
2.04964;16;normal;25000
0.459735;4;normal;10000
0.259286;1;normal;10000
0.487051;8;normal;10000
1.99761;2;normal;25000
1.54017;1;normal;25000
1.08696;16;normal;10000
2.30572;4;normal;25000
0.260297;1;normal;10000
0.473812;2;normal;10000
2.55753;8;normal;25000
0.51828;4;normal;10000
1.25519;1;normal;25000
1.1077;8;normal;10000
0.273391;1;normal;10000
3.69835;16;normal;25000
0.683817;16;normal;10000
1.2264;1;normal;25000
2.19637;2;normal;25000
2.22028;4;normal;25000
0.494242;2;normal;10000
0.695552;4;normal;10000
2.94341;8;normal;25000
0.637281;8;normal;10000
3.72946;16;normal;25000
0.837952;16;normal;10000
1.50677;4;normal;25000
0.49218;2;normal;10000
4.76633;2;normal;25000
3.77277;8;normal;25000
3.84274;16;normal;25000
0.915741;4;normal;10000
0.882827;8;normal;10000
1.17794;16;normal;10000
2.16797;2;normal;25000
2.54427;8;normal;25000
2.33155;4;normal;25000
4.08961;16;normal;25000
0.242441;1;problem;10000
0.361099;2;problem;10000
0.799685;4;problem;10000
0.791139;8;problem;10000
1.13047;1;problem;25000
0.606029;16;problem;10000
1.36669;2;problem;25000
2.27849;4;problem;25000
0.243005;1;problem;10000
2.76044;8;problem;25000
0.353201;2;problem;10000
1.13978;1;problem;25000
0.620667;4;problem;10000
0.27631;1;problem;10000
0.855823;8;problem;10000
4.30253;16;problem;25000
1.56823;2;problem;25000
1.16143;1;problem;25000
0.239938;1;problem;10000
1.1447;1;problem;25000
0.312831;1;problem;10000
3.20794;16;problem;10000
3.15955;4;problem;25000
3.49627;8;problem;25000
1.11779;1;problem;25000
0.276016;2;problem;10000
0.409736;4;problem;10000
0.920832;8;problem;10000
1.84373;16;problem;10000
1.75385;2;problem;25000
6.65012;16;problem;25000
3.18584;4;problem;25000
0.251077;2;problem;10000
2.69386;8;problem;25000
0.406001;4;problem;10000
0.51177;8;problem;10000
1.23373;2;problem;25000
0.355635;2;problem;10000
0.963157;16;problem;10000
0.593073;4;problem;10000
2.53416;4;problem;25000
6.84452;16;problem;25000
0.634769;8;problem;10000
1.25703;2;problem;25000
3.94746;4;problem;25000
4.18261;8;problem;25000
6.02802;8;problem;25000
8.71478;16;problem;25000
1.19185;16;problem;10000
5.6585;16;problem;25000
