,Size,Nthreads,Time_Normal,Time_Problem,diff
0,10000,1,1.7664849999999999,1.058165,-0.7083199999999998
1,10000,2,1.444425,1.2770325,-0.16739250000000006
2,10000,4,2.5417525,1.7839775,-0.7577749999999999
3,10000,8,1.57318,2.4924850000000003,0.9193050000000003
4,10000,16,2.3740075000000003,3.1709050000000003,0.7968975
5,25000,1,7.1447775,6.6493825,-0.49539500000000025
6,25000,2,17.8770275,7.8975275,-9.979500000000002
7,25000,4,23.048907500000002,10.4532325,-12.595675000000002
8,25000,8,19.1776575,13.2277,-5.949957499999998
9,25000,16,14.98165,18.709,3.7273499999999995
