FullTime;ToRTime;GaussTime;Nthreads;MatrixSize;Residual
0.761482;0.760371;0.0011111;1;1000;2.34546e-12
0.389845;0.388836;0.00100967;2;1000;2.34546e-12
0.153823;0.152454;0.0013696;8;1000;2.34546e-12
0.279615;0.278227;0.00138748;4;1000;2.34546e-12
0.0943559;0.0928987;0.00145723;16;1000;2.34546e-12
0.072182;0.070668;0.00151399;32;1000;2.34546e-12
8.91627;8.8673;0.0489707;8;4000;2.69312e-11
18.1036;18.0546;0.0490691;4;4000;2.69312e-11
25.9427;25.8887;0.0540171;2;4000;2.69312e-11
50.5946;50.5275;0.0670717;1;4000;2.69312e-11
48.812;48.2749;0.537101;8;7000;1.32035e-11
98.4298;97.873;0.556792;4;7000;1.32035e-11
139.119;138.808;0.31071;2;7000;1.32035e-11
140.675;139.434;1.24115;8;10000;4.14347e-11
5.19305;5.15693;0.0361204;16;4000;2.69312e-11
29.2641;28.7799;0.484259;16;7000;1.32035e-11
270.753;270.449;0.303913;1;7000;1.32035e-11
88.6191;87.1877;1.43145;16;10000;4.14347e-11
3.3972;3.34684;0.0503685;32;4000;2.69312e-11
21.1338;20.548;0.585798;32;7000;1.32035e-11
292.648;291.326;1.32239;4;10000;4.14347e-11
60.4846;59.1766;1.30804;32;10000;4.14347e-11
435.173;434.405;0.768188;2;10000;4.14347e-11
419.44;417.054;2.38616;8;13000;2.98987e-10
783.245;782.488;0.756235;1;10000;4.14347e-11
377.77;375.392;2.37768;16;13000;2.98987e-10
574.353;572.988;1.36465;4;13000;2.98987e-10
166.777;164.099;2.67763;64;13000;2.98987e-10
207.221;204.822;2.39893;32;13000;2.98987e-10
113.229;110.339;2.89011;128;13000;2.98987e-10
