FullTime;ToRTime;GaussTime;Nthreads;MatrixSize;Residual;Error
2.67283;2.66731;0.00552212;2;1000;9.72223e-13;9.43381e-09
5.33571;5.33184;0.00387435;1;1000;9.72223e-13;9.43381e-09
1.42715;1.42092;0.00623392;4;1000;9.72223e-13;9.43381e-09
0.792601;0.786445;0.00615617;8;1000;9.72223e-13;9.43381e-09
0.416462;0.409401;0.00706129;16;1000;9.72223e-13;9.43381e-09
0.335086;0.326871;0.00821511;32;1000;9.72223e-13;9.43381e-09
44.4006;44.301;0.0995578;8;4000;6.21596e-11;5.09017e-08
22.5641;22.4681;0.0959295;16;4000;6.21596e-11;5.09017e-08
13.5;13.3973;0.102632;32;4000;6.21596e-11;5.09017e-08
87.9367;87.8442;0.0924334;4;4000;6.21596e-11;5.09017e-08
169.183;169.077;0.105224;2;4000;6.21596e-11;5.09017e-08
340.131;340.072;0.0582375;1;4000;6.21596e-11;5.09017e-08
285.906;285.711;0.195345;4;6000;2.88351e-10;8.27091e-06
143.758;143.561;0.196663;8;6000;2.88351e-10;8.27091e-06
39.8189;39.5979;0.22101;32;6000;2.88351e-10;8.27091e-06
5.27569;5.27203;0.00365613;1;1000;9.72223e-13;9.43381e-09
88.6021;88.383;0.21905;16;6000;2.88351e-10;8.27091e-06
2.68092;2.67543;0.00548985;2;1000;9.72223e-13;9.43381e-09
1.38163;1.37556;0.00607054;4;1000;9.72223e-13;9.43381e-09
0.787294;0.781196;0.00609804;8;1000;9.72223e-13;9.43381e-09
0.590426;0.583614;0.00681139;16;1000;9.72223e-13;9.43381e-09
0.405764;0.39822;0.00754405;32;1000;9.72223e-13;9.43381e-09
578.515;578.284;0.231596;2;6000;2.88351e-10;8.27091e-06
169.632;169.526;0.106004;2;4000;6.21596e-11;5.09017e-08
84.8246;84.7338;0.0908512;4;4000;6.21596e-11;5.09017e-08
43.0531;42.9606;0.0925455;8;4000;6.21596e-11;5.09017e-08
23.0559;22.9585;0.0974165;16;4000;6.21596e-11;5.09017e-08
11.9092;11.8096;0.0995823;32;4000;6.21596e-11;5.09017e-08
338.712;338.654;0.0576122;1;4000;6.21596e-11;5.09017e-08
283.992;283.797;0.194869;4;6000;2.88351e-10;8.27091e-06
1145.09;1144.95;0.133525;1;6000;2.88351e-10;8.27091e-06
145.248;145.05;0.197868;8;6000;2.88351e-10;8.27091e-06
75.6602;75.4414;0.218727;16;6000;2.88351e-10;8.27091e-06
5.6241;5.62011;0.00399325;1;1000;9.72223e-13;9.43381e-09
44.6844;44.4722;0.212161;32;6000;2.88351e-10;8.27091e-06
2.65307;2.64754;0.00552965;2;1000;9.72223e-13;9.43381e-09
1.35739;1.3513;0.00608934;4;1000;9.72223e-13;9.43381e-09
0.696305;0.690215;0.0060906;8;1000;9.72223e-13;9.43381e-09
0.423303;0.416822;0.00648112;16;1000;9.72223e-13;9.43381e-09
573.814;573.586;0.22818;2;6000;2.88351e-10;8.27091e-06
0.413408;0.405956;0.00745212;32;1000;9.72223e-13;9.43381e-09
85.0278;84.9366;0.0911768;4;4000;6.21596e-11;5.09017e-08
42.8242;42.7272;0.0969998;8;4000;6.21596e-11;5.09017e-08
23.6446;23.547;0.0975359;16;4000;6.21596e-11;5.09017e-08
170.028;169.916;0.112;2;4000;6.21596e-11;5.09017e-08
13.1123;13.012;0.100305;32;4000;6.21596e-11;5.09017e-08
339.341;339.284;0.0577455;1;4000;6.21596e-11;5.09017e-08
1139.94;1139.81;0.130121;1;6000;2.88351e-10;8.27091e-06
284.008;283.813;0.195026;4;6000;2.88351e-10;8.27091e-06
82.4302;82.2147;0.21552;16;6000;2.88351e-10;8.27091e-06
148.726;148.515;0.211272;8;6000;2.88351e-10;8.27091e-06
5.3305;5.32672;0.00377897;1;1000;9.72223e-13;9.43381e-09
43.3068;43.0972;0.209651;32;6000;2.88351e-10;8.27091e-06
2.71851;2.71293;0.00558068;2;1000;9.72223e-13;9.43381e-09
1.36709;1.36086;0.00622076;4;1000;9.72223e-13;9.43381e-09
0.830028;0.823831;0.00619711;8;1000;9.72223e-13;9.43381e-09
0.581601;0.574603;0.00699787;16;1000;9.72223e-13;9.43381e-09
0.352091;0.344458;0.00763331;32;1000;9.72223e-13;9.43381e-09
590.216;589.98;0.23627;2;6000;2.88351e-10;8.27091e-06
84.2897;84.199;0.0907269;4;4000;6.21596e-11;5.09017e-08
170.739;170.633;0.106408;2;4000;6.21596e-11;5.09017e-08
42.8038;42.7119;0.0918967;8;4000;6.21596e-11;5.09017e-08
13.3854;13.2819;0.103507;32;4000;6.21596e-11;5.09017e-08
24.1019;24.0059;0.0959606;16;4000;6.21596e-11;5.09017e-08
340.861;340.803;0.0580825;1;4000;6.21596e-11;5.09017e-08
1145.95;1145.82;0.129665;1;6000;2.88351e-10;8.27091e-06
286.195;285.997;0.197462;4;6000;2.88351e-10;8.27091e-06
79.3431;79.1313;0.211824;16;6000;2.88351e-10;8.27091e-06
149.287;149.067;0.219304;8;6000;2.88351e-10;8.27091e-06
44.9132;44.6941;0.219048;32;6000;2.88351e-10;8.27091e-06
575.366;575.135;0.231145;2;6000;2.88351e-10;8.27091e-06
1137.86;1137.73;0.129965;1;6000;2.88351e-10;8.27091e-06
5.27547;5.27183;0.00363767;1;1000;9.72223e-13;9.43381e-09
5.2759;5.27226;0.00363176;1;1000;9.72223e-13;9.43381e-09
