FullTime;ToRTime;GaussTime;Nthreads;MatrixSize;Residual;Error
87.3562;87.2635;0.0927528;4;4000;6.21596e-11;5.09017e-08
43.0125;42.9199;0.0925601;8;4000;6.21596e-11;5.09017e-08
22.6343;22.5352;0.0990845;16;4000;6.21596e-11;5.09017e-08
173.052;172.941;0.111005;2;4000;6.21596e-11;5.09017e-08
12.4494;12.3476;0.101792;32;4000;6.21596e-11;5.09017e-08
341.547;341.452;0.0947705;1;4000;6.21596e-11;5.09017e-08
453.077;452.803;0.274351;4;7000;1.56518e-11;5.01969e-07
233.48;233.191;0.288984;8;7000;1.56518e-11;5.01969e-07
5.31267;5.30899;0.00367427;1;1000;9.72223e-13;9.43381e-09
339.503;339.445;0.0583977;1;4000;6.21596e-11;5.09017e-08
1.38123;1.37511;0.00611234;4;1000;9.72223e-13;9.43381e-09
2.75932;2.75382;0.00550423;2;1000;9.72223e-13;9.43381e-09
0.778357;0.772235;0.00612129;8;1000;9.72223e-13;9.43381e-09
85.0367;84.9298;0.106878;4;4000;6.21596e-11;5.09017e-08
43.0681;42.9764;0.0917547;8;4000;6.21596e-11;5.09017e-08
22.6632;22.5676;0.0956587;16;4000;6.21596e-11;5.09017e-08
12.7028;12.5974;0.105391;32;4000;6.21596e-11;5.09017e-08
182.475;182.367;0.107639;2;4000;6.21596e-11;5.09017e-08
355.91;355.342;0.568256;16;10000;4.12657e-10;1.37483e-06
687.605;687.024;0.581249;8;10000;4.12657e-10;1.37483e-06
261.819;261.543;0.275142;8;7000;1.56518e-11;5.01969e-07
481.034;480.746;0.287856;4;7000;1.56518e-11;5.01969e-07
5.34718;5.34347;0.00370717;1;1000;9.72223e-13;9.43381e-09
2.70039;2.69487;0.00552697;2;1000;9.72223e-13;9.43381e-09
1.37739;1.37127;0.00611337;4;1000;9.72223e-13;9.43381e-09
0.771741;0.765632;0.00610932;8;1000;9.72223e-13;9.43381e-09
693.434;692.906;0.528146;8;10000;4.12657e-10;1.37483e-06
351.927;351.379;0.548033;16;10000;4.12657e-10;1.37483e-06
86.1247;86.0332;0.0914368;4;4000;6.21596e-11;5.09017e-08
24.5937;24.4929;0.100731;16;4000;6.21596e-11;5.09017e-08
46.6373;46.5403;0.0969869;8;4000;6.21596e-11;5.09017e-08
12.3268;12.2264;0.100394;32;4000;6.21596e-11;5.09017e-08
172.462;172.355;0.106316;2;4000;6.21596e-11;5.09017e-08
341.582;341.524;0.0577626;1;4000;6.21596e-11;5.09017e-08
453.193;452.931;0.262693;4;7000;1.56518e-11;5.01969e-07
232.714;232.443;0.271087;8;7000;1.56518e-11;5.01969e-07
349.635;349.082;0.552633;16;10000;4.12657e-10;1.37483e-06
670.512;669.986;0.525893;8;10000;4.12657e-10;1.37483e-06
