MatrixSize;Nthreads;Time;SpmvTime;DotTime;LinCombTime;Residual;Error
8000000;2;8.20155;0.00230558;0.608954;0.343218;3.58365e-09;5.12588e-09
1000000;1;1.81356;0.000575043;0.14697;0.0886101;3.16216e-12;8.18254e-13
1000000;2;0.956578;0.000287537;0.0721276;0.0418368;3.16067e-12;8.18286e-13
15625000;8;10.1154;0.00269521;0.379311;0.507662;2.1332e-09;3.03705e-09
8000000;1;15.1054;0.0050201;1.21012;0.672454;3.58365e-09;5.12588e-09
15625000;4;16.9911;0.00536297;0.686209;0.747807;2.1332e-09;3.03705e-09
8000000;2;8.2906;0.00231823;0.611483;0.359757;3.58365e-09;5.12588e-09
15625000;8;10.0846;0.00268921;0.377279;0.507015;2.1332e-09;3.03705e-09
8000000;1;15.1194;0.00457169;1.20983;0.657772;3.58365e-09;5.12588e-09
15625000;1;49.7575;0.193244;2.36141;1.32023;2.1332e-09;3.03705e-09
15625000;1;50.228;0.194762;2.36892;1.35494;2.1332e-09;3.03705e-09
15625000;8;10.0784;0.00269696;0.377817;0.501936;2.1332e-09;3.03705e-09
1000000;8;0.473584;0.000122709;0.0211165;0.0177338;3.16271e-12;8.18587e-13
15625000;4;16.95;0.00563095;0.690923;0.759854;2.1332e-09;3.03705e-09
8000000;8;4.35857;0.000968974;0.19538;0.252218;3.58365e-09;5.12588e-09
1000000;8;0.46986;0.000122695;0.0208098;0.0177958;3.16271e-12;8.18587e-13
8000000;8;4.36574;0.00100186;0.196243;0.259083;3.58365e-09;5.12588e-09
1000000;8;0.47446;0.000122095;0.0212713;0.017817;3.16271e-12;8.18587e-13
8000000;8;4.36159;0.00098981;0.19619;0.257769;3.58365e-09;5.12588e-09
1000000;8;0.475813;0.000122725;0.0212329;0.017822;3.16271e-12;8.18587e-13
15625000;2;26.4206;0.00969692;1.18661;0.725655;2.1332e-09;3.03705e-09
8000000;8;4.36907;0.00100343;0.197025;0.25795;3.58365e-09;5.12588e-09
15625000;4;17.2721;0.00537641;0.72089;0.849528;2.1332e-09;3.03705e-09
15625000;1;50.0968;0.192765;2.36673;1.34417;2.1332e-09;3.03705e-09
15625000;2;26.4992;0.00970197;1.18926;0.73113;2.1332e-09;3.03705e-09
15625000;8;10.0338;0.00268141;0.37658;0.482434;2.1332e-09;3.03705e-09
1000000;16;0.32492;6.21606e-05;0.0128877;0.010636;3.16143e-12;8.18268e-13
15625000;1;50.2983;0.19355;2.37224;1.417;2.1332e-09;3.03705e-09
1000000;32;0.324653;3.25778e-05;0.0176302;0.00881175;3.16144e-12;8.18506e-13
8000000;16;3.24565;0.00060367;0.127392;0.184276;3.58365e-09;5.12588e-09
1000000;16;0.325466;6.21013e-05;0.0133545;0.0102993;3.16143e-12;8.18268e-13
8000000;32;2.7856;0.000379191;0.119836;0.110079;3.58365e-09;5.12588e-09
1000000;32;0.312108;5.53938e-05;0.0174472;0.00837014;3.16144e-12;8.18506e-13
8000000;16;3.27362;0.000612085;0.128554;0.189142;3.58365e-09;5.12588e-09
1000000;16;0.328079;6.46699e-05;0.013252;0.0101864;3.16143e-12;8.18268e-13
8000000;32;2.78783;0.000558823;0.121928;0.110256;3.58365e-09;5.12588e-09
1000000;32;0.305165;5.51043e-05;0.0158837;0.00873912;3.16144e-12;8.18506e-13
15625000;4;17.1649;0.00574783;0.694641;0.77241;2.1332e-09;3.03705e-09
1000000;16;0.405551;6.17493e-05;0.0139583;0.0178211;3.16143e-12;8.18268e-13
8000000;32;2.53606;0.000334243;0.0871854;0.10407;3.58365e-09;5.12588e-09
1000000;32;0.290138;3.06133e-05;0.0140276;0.00847847;3.16144e-12;8.18506e-13
8000000;16;4.1555;0.000767775;0.209822;0.334992;3.58365e-09;5.12588e-09
8000000;16;3.55854;0.000502621;0.163929;0.210826;3.58365e-09;5.12588e-09
